Pike MeV; JENDL; P.Mohr; J.K.Bair; K.K.Sekharan; K. Brandenburg; R.B.Walton; P.S.Prusachenko; M. Febbraro; H.W.Drotleff; S.E.Kellogg; C.N.Davids; B.Gao
1.05    ; YES  ; YES   ; YES     ; NO          ; NO            ; YES       ; NO             ; YES        ; YES         ; NO         ; NO        ; NO   
1.34    ; YES  ; YES   ; YES     ; NO          ; NO            ; YES       ; NO             ; NO         ; YES         ; NO         ; NO        ; NO   
1.59    ; MAYBE; YES   ; YES     ; NO          ; NO            ; MAYBE     ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
1.74    ; MAYBE; MAYBE ; MAYBE   ; NO          ; NO            ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
2.08    ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; MAYBE          ; NO         ; NO          ; NO         ; NO        ; NO   
2.2     ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; YES            ; NO         ; NO          ; NO         ; NO        ; NO   
2.4     ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; YES            ; NO         ; NO          ; NO         ; NO        ; NO   
2.6     ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
2.67    ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
2.76    ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
2.8     ; YES  ; YES   ; YES     ; YES         ; NO            ; YES       ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
3.05    ; YES  ; YES   ; YES     ; YES         ; YES           ; YES       ; MAYBE          ; NO         ; NO          ; NO         ; NO        ; NO   
3.31    ; YES  ; YES   ; YES     ; YES         ; YES           ; YES       ; YES            ; NO         ; NO          ; NO         ; NO        ; NO   
3.41    ; YES  ; YES   ; YES     ; YES         ; YES           ; YES       ; MAYBE          ; NO         ; NO          ; NO         ; NO        ; NO   
3.63    ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
3.67    ; YES  ; NO    ; YES     ; NO          ; NO            ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
3.7     ; MAYBE; YES   ; MAYBE   ; YES         ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
4.08    ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
4.385   ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; NO             ; YES        ; NO          ; NO         ; NO        ; NO   
4.58    ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
4.59    ; YES  ; NO    ; NO      ; YES         ; NO            ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
4.76    ; MAYBE; MAYBE ; MAYBE   ; MAYBE       ; NO            ; NO        ; MAYBE          ; NO         ; NO          ; NO         ; NO        ; NO   
4.98    ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; YES            ; YES        ; NO          ; NO         ; NO        ; NO   
5.2     ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; YES            ; NO         ; NO          ; NO         ; NO        ; NO   
5.3     ; YES  ; YES   ; YES     ; YES         ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
5.5     ; YES  ; YES   ; MAYBE   ; MAYBE       ; YES           ; NO        ; YES            ; YES        ; NO          ; NO         ; NO        ; NO   
5.75    ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
5.94    ; YES  ; YES   ; NO      ; NO          ; YES           ; NO        ; YES            ; YES        ; NO          ; NO         ; NO        ; NO   
6.1     ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
6.34    ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
6.86    ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
7.03    ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
7.12    ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
7.37    ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
7.5     ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
7.7     ; NO   ; YES   ; NO      ; NO          ; YES           ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   
7.9     ; NO   ; YES   ; NO      ; NO          ; NO            ; NO        ; NO             ; NO         ; NO          ; NO         ; NO        ; NO   